Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL,Тип
Аптека,,Аптеки; Процедурный кабинет,"Думан-2 микрорайон, 13",94 помещение,,Думан-2 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00 (процедурный кабинет: пн-вс 8:00-20:00),+05:00,2.9,23,87712343366,,,,,,,,,,https://wa.me/77712343366,,,,,,43.285524,77.001652,https://2gis.com/firm/70000001055537346,branch
Аптека,,Аптеки; Процедурный кабинет,"микрорайон Аккент, 99",,050038,Аккент м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+05:00,5.0,1,87058228534,,,,,,,,,,https://wa.me/77058228534,,,,,,43.243336,76.810782,https://2gis.com/firm/70000001090153918,branch
Леся Фарм,аптека,Аптеки,"улица Мадениет, 59/1",,,Мадениет м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,2.9,6,,,,,,,,,,,,,,,,,43.349074,76.825366,https://2gis.com/firm/70000001075333422,branch
Аптека,,Аптеки,"улица Абишева, 36/5 блок 6",,050006,Калкаман-2 м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,1.8,18,,,,,,,,,,,,,,,,,43.235373,76.807584,https://2gis.com/firm/70000001032070401,branch
Док-фарм,аптека,Аптеки,"улица Усенова, 7",1 этаж,050006,Калкаман-2 м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,2.9,18,87085902059,,,,,,,,,https://vk.com/id219404107,https://wa.me/77085902059,,,,,,43.203737,76.823292,https://2gis.com/firm/70000001066998138,branch
Lika Pharm,аптека,Аптеки,"Талгарский тракт, 12",1 этаж,,,,Алматы,Талгарский район,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.5,4,87279715611,87272321134,,,,,,,,,,,,,,,43.306355,77.098051,https://2gis.com/firm/70000001028344776,branch
Аптека,,Аптеки,"микрорайон Аксай 1А, 27Б",1 этаж,050031,Аксай-1а м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,2.7,11,87782326179,,,,,,,,,,https://wa.me/77782326179,,,,,,43.239854,76.8259,https://2gis.com/firm/9429940000984529,branch
Аптека,,Аптеки,"улица Райымбек батыра, 5",,,,,,Карасайский район,Алматинская область,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,,,,,,,,,,,,,,,,,,,43.214795,76.687948,https://2gis.com/firm/70000001078609243,branch
Аскорбинка,аптека,Аптеки,"улица Майлина, 228",,050054,Маяк м-н,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.4,37,87273947181,,,,,,,,,,,,,,,,43.333624,76.980342,https://2gis.com/firm/70000001046174482,branch
Хая Рохе,аптека,Аптеки; Доставка лекарств,"улица Момышулы, 120а",,041609,,,,Талгарский район,Алматинская область,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,5.0,9,87073230835,,,,,,,,,,https://wa.me/77073230835,,,,,,43.295838,77.02885,https://2gis.com/firm/70000001089656161,branch
Эмиль Фарм,аптека,Аптеки,"улица Суюнбая, 40/1",,041609,,,,Талгарский район,Алматинская область,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,1.8,7,87479207828,,,,,,,,,,https://wa.me/77479207828,,,,,,43.291004,77.012563,https://2gis.com/firm/70000001063164323,branch
Аскорбинка,аптека,Аптеки,"проспект Сейфуллина, 35",,050011,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00,+05:00,5.0,1,87771557394,,,,,,,,,,https://wa.me/77771557394,,,,,,43.33067,76.943171,https://2gis.com/firm/70000001088800707,branch
Биосфера,аптека,Аптеки; Средства гигиены; Детское питание,"улица Жангозина, 47а",1 этаж,,,,Каскелен,Карасайский район,Алматинская область,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-20:00,+05:00,,,87272983421,,,,,http://biosfera.kz,,,,,,,,,,,43.209107,76.621332,https://2gis.com/firm/70000001055600297,branch
Аптека,,Аптеки,"улица Спасская, 48в",,050028,Нижняя пятилетка м-н,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,2.7,17,87272905727,,,,,,,,,,,,,,,,43.355103,76.949337,https://2gis.com/firm/9429940000792776,branch
Аптека,,Аптеки; Процедурный кабинет,"улица Центральная, 2а/2",,,,,,Карасайский район,Алматинская область,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,5.0,1,87089710327,,,,,,,,,,https://wa.me/77089710327,,,,,,43.359072,76.768004,https://2gis.com/firm/70000001051510247,branch
Центральный Аптечный Дом,сеть аптек,Аптеки; Изготовление лекарств на заказ,"улица Байтерек, 40/1",,040729,,,,Илийский район,Алматинская область,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,87052552525 (единая справочная: круглосуточно),,,kazpharmacy@mail.ru,,http://pharmahome.kz,,https://instagram.com/apteka_dom,,,https://wa.me/77052552525,,,,,,43.439327,76.915718,https://2gis.com/firm/70000001083384937,branch
Аптека,,Аптеки,"улица Бокина, 15",3 офис; 1 этаж,,,,Талгар,Талгарский район,Алматинская область,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,3.0,2,87277422220,,,,,,,,,,,,,,,,43.308263,77.227176,https://2gis.com/firm/70000001045262393,branch
Аптека,,Аптеки,"улица Бокина, 5",1 этаж,,,,Талгар,Талгарский район,Алматинская область,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,2.7,6,87277420666,,,,,,,,,,,,,,,,43.304902,77.227785,https://2gis.com/firm/70000001045208449,branch
Лимонка,аптека,Аптеки,"проспект Райымбека, 590/10",,,,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+05:00,5.0,5,87076028292,,,,,,,,,,https://wa.me/77076028292,,,,,,43.229589,76.783239,https://2gis.com/firm/70000001090148406,branch
Доктор АС,аптека,Аптеки; Процедурный кабинет,"улица Бокина, 14",1 этаж,,,,Талгар,Талгарский район,Алматинская область,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,,,87474132331,,,,,,,,,,https://wa.me/77474132331,,,,,,43.304533,77.22833,https://2gis.com/firm/70000001086981092,branch
Ai-Tore Pharm,аптека,Аптеки,"улица Алтын Орда, 6/37 к1",,,,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+05:00,4.0,14,87052091185,,,,,,,,,,https://wa.me/77052091185,,,,,,43.217297,76.776351,https://2gis.com/firm/70000001068807017,branch
Аптека,,Аптеки,"улица Бекболата, 68а",,050024,Ожет м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,1.0,4,,,,,,,,,,,,,,,,,43.32211,76.887442,https://2gis.com/firm/70000001040218136,branch
MN Pharm,аптека,Аптеки,"улица Халиуллина, 43",,050019,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:30-01:00; Вт: 10:30-01:00; Ср: 10:30-01:00; Чт: 10:30-01:00; Пт: 10:30-01:00; Сб: 10:30-01:00; Вс: 10:30-01:00,+05:00,1.0,6,87272344653,,,,,,,,,,,,,,,,43.285634,76.976104,https://2gis.com/firm/70000001027900377,branch
Аптечный склад,,Аптеки,"улица Тлеуберды Сауранбаева, 14/2",1 этаж,050011,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,,,87273466584,,,,,,,,,,,,,,,,43.33412,76.947805,https://2gis.com/firm/70000001081823248,branch
Аптека,,Аптеки,"улица Самал, 20Б",1 этаж,,,,,Карасайский район,Алматинская область,Казахстан,"Пн: 08:30-12:00, 14:00-18:00; Вт: 08:30-12:00, 14:00-18:00; Ср: 08:30-12:00, 14:00-18:00; Чт: 08:30-12:00, 14:00-18:00; Пт: 08:30-12:00, 14:00-18:00; Сб: 08:30-18:00",+05:00,,,,,,,,,,,,,,,,,,,43.339115,76.701746,https://2gis.com/firm/70000001069137821,branch
Аптека,,Аптеки,"улица Станционная, 1",1 этаж; под лестницей,050011,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:30; Вт: 08:00-23:30; Ср: 08:00-23:30; Чт: 08:00-23:30; Пт: 08:00-23:30; Сб: 08:00-23:30; Вс: 08:00-23:30,+05:00,2.0,4,87014411445,,,,,,,,,,,,,,,,43.340915,76.948852,https://2gis.com/firm/9429940000853427,branch
Аптека,,Аптеки; Процедурный кабинет,"Кульджинский тракт, 16/20 блок 9",1 этаж,050019,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,2.2,26,87472252196,87078328791 (директор),,,,,,,,,https://wa.me/77078328791,https://wa.me/77472252196,,,,,43.289879,76.986718,https://2gis.com/firm/70000001053388037,branch
Аптека,,Аптеки,"улица Ынтымак, 7а",,050047,Айгерим-2 м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,3.7,4,87085932218,87272470275,,,,,,,,,https://wa.me/77085932218,,,,,,43.27901,76.839597,https://2gis.com/firm/9429940001719276,branch
Аптека,,Аптеки,"микрорайон Калкаман, 21/2",1 этаж,050006,Калкаман м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,1.7,32,87272708697,,,,,,,,,,,,,,,,43.232914,76.798269,https://2gis.com/firm/70000001035126191,branch
Зере-Фарм,аптека,Аптеки,"улица Аксу, 1",,,,,,Илийский район,Алматинская область,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,,,87752382876,87073798442,,,,,,,,,https://wa.me/77752382876,https://wa.me/77073798442,,,,,43.401558,76.854927,https://2gis.com/firm/70000001079671256,branch
Аптека,,Аптеки,"микрорайон Саялы, 123",,050047,Саялы м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,3.0,7,87025748640,,,,,,,,,,https://wa.me/77025748640,,,,,,43.302875,76.838098,https://2gis.com/firm/70000001039006089,branch
Анкри,аптека,Аптеки,"улица Муратбаева, 36",,,Жана м-н,,Талгар,Талгарский район,Алматинская область,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,,,,,,,,,,,,,,,,,,,43.317643,77.230143,https://2gis.com/firm/70000001045438236,branch
Аптека Со склада,,Аптеки,"улица Аркабая, 4в",,,,,,Илийский район,Алматинская область,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,4.4,6,,,,,,,,https://instagram.com/aptekasosklada,,,,,,,,,43.477165,77.031618,https://2gis.com/firm/70000001067958423,branch
Садыхан,сеть социальных аптек,Аптеки,"улица Желтоксан, 41",,,,,Есик,Енбекшиказахский район,Алматинская область,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,,,87277573337,87073494949,,managersrp-gk@sadykhan.kz,,http://sadykhan.kz,,https://instagram.com/sadykhan.kz,,,https://wa.me/77073494949,,,,,,43.37627,77.44583,https://2gis.com/firm/70000001082747499,branch
Aize Med Farm,аптека,Аптеки; Процедурный кабинет,"микрорайон Дарабоз, 67",,,Дарабоз м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 14:00-21:00,+05:00,5.0,5,87026974077,,,,,,,,,,https://wa.me/77026974077,,,,,,43.268569,76.818882,https://2gis.com/firm/70000001083951937,branch
Антфарма,аптека,Аптеки,"улица Байкадамова, 5",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-13:00,+05:00,1.0,2,,,,,,,,,,,,,,,,,43.214273,76.896541,https://2gis.com/firm/70000001032455112,branch
Аптека,,Аптеки,"улица Алматинская, 70",,,,,,Енбекшиказахский район,Алматинская область,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+05:00,5.0,1,87015066555,,,,,,,,,,https://wa.me/77015066555,,,,,,43.368559,77.304961,https://2gis.com/firm/70000001083953171,branch
Аптека,,Аптеки,"улица Рыскулова, 117/1",,,,,Талгар,Талгарский район,Алматинская область,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00,+05:00,,,,,,,,,,,,,,,,,,,43.309216,77.24095,https://2gis.com/firm/70000001079887024,branch
Dem,аптека,Аптеки; Процедурный кабинет,"улица Кожабекова, 23",,040921,,,,Карасайский район,Алматинская область,Казахстан,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+05:00,4.1,30,87057999666,,,,,,,,,,https://wa.me/77057999666,,,,,,43.258183,76.774206,https://2gis.com/firm/70000001047078248,branch
Аптека,,Аптеки,"4-й микрорайон, 24",1 этаж,050062,4-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,2.3,14,,,,,,,,,,,,,,,,,43.228858,76.857316,https://2gis.com/firm/70000001027638748,branch
Аптека,,Аптеки,"улица Алматинская, 70а",,,,,,Енбекшиказахский район,Алматинская область,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+05:00,,,,,,,,,,,,,,,,,,,43.36954,77.306487,https://2gis.com/firm/70000001087738141,branch
Султан М,Аптека,Аптеки; Процедурный кабинет,"улица Сухамбаева, 21",1 этаж,050060,Акбулак м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-01:00; Вт: 09:00-01:00; Ср: 09:00-01:00; Чт: 09:00-01:00; Пт: 09:00-01:00; Сб: 09:00-01:00; Вс: 09:00-01:00,+05:00,2.1,12,87789856670,,,,,,,,,,https://wa.me/77789856670,,,,,,43.2427,76.81901,https://2gis.com/firm/70000001036228386,branch
Лекдосфарм,аптека,Аптеки,"улица Абылай хана, 121",1 этаж,,,,Талгар,Талгарский район,Алматинская область,Казахстан,Пн: 08:30-23:00; Вт: 08:30-23:00; Ср: 08:30-23:00; Чт: 08:30-23:00; Пт: 08:30-23:00; Сб: 08:30-23:00; Вс: 08:30-23:00,+05:00,1.1,1,87273881060,,,,,,,,,,,,,,,,43.306945,77.242639,https://2gis.com/firm/70000001045208768,branch
Аптека Со склада,,Аптеки,"улица Уалиханова, 92г",,,,,Алатау,Илийский район,Алматинская область,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,5.0,1,,,,,,,,https://instagram.com/aptekasosklada,,,,,,,,,43.670187,77.105679,https://2gis.com/firm/70000001066364992,branch
Аптека,,Аптеки,"Водник 1 микрорайон, 17",1 этаж,040708,Водник 1 м-н,,,Илийский район,Алматинская область,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,2.6,6,87273877104,87772233123,,,,,,,,,,,,,,,43.36788,76.856711,https://2gis.com/firm/70000001039755319,branch
Аптека,,Аптеки,"улица Шарын, 41",,050024,Ожет м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,2.3,6,87078788987,87478385900,,,,,,,,,https://wa.me/77078788987,,,,,,43.323078,76.892929,https://2gis.com/firm/70000001056699666,branch
Adilzhan,аптека,Аптеки,"улица Жунисова, 8/7",1 этаж,050035,,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+05:00,2.6,12,87071881646,,,,,,,,,,https://wa.me/77071881646,,,,,,43.222646,76.786259,https://2gis.com/firm/70000001046726787,branch
Аптека Со склада,,Аптеки,"улица Ауэзова, 26Б",,,Кызылту 2 ж/м,,,Талгарский район,Алматинская область,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,2.4,11,,,,,,,,https://instagram.com/aptekasosklada,,,,,,,,,43.409203,77.064203,https://2gis.com/firm/70000001051829586,branch
Аптека Со склада,,Аптеки,"проспект Абылай хана, 175",,,,,Каскелен,Карасайский район,Алматинская область,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,3.6,5,,,,,,,,https://instagram.com/aptekasosklada,,,,,,,,,43.200297,76.629967,https://2gis.com/firm/70000001067825698,branch
Роза-Фарм,аптека,Аптеки,"улица Жангозина, 47а",1 этаж,,,,Каскелен,Карасайский район,Алматинская область,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,3.2,11,87273022890,,,,,,,,,,,,,,,,43.209089,76.621492,https://2gis.com/firm/70000001044552570,branch
Аптека,,Аптеки,"улица Райымбек батыра, 52/1",1 этаж,041609,,,,Талгарский район,Алматинская область,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,3.0,2,,,,,,,,,,,,,,,,,43.300569,77.048914,https://2gis.com/firm/70000001055156232,branch
Нинелли,аптека,Аптеки,"Егемендик улица, 17а",,040916,,,,Карасайский район,Алматинская область,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,1.0,3,87081647495,,,,,,,,,,https://wa.me/77081647495,,,,,,43.245784,76.749936,https://2gis.com/firm/70000001082663707,branch
Аптека,,Аптеки; Процедурный кабинет,"улица Кунаева, 174",,040916,,,,Карасайский район,Алматинская область,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (процедурный кабинет: 8:00-23:00),+05:00,2.9,10,87074010077,87788689977,,,,,,,,,https://wa.me/77074010077,https://wa.me/77788689977,,,,,43.229991,76.762036,https://2gis.com/firm/70000001033029433,branch
Аптека,,Аптеки; Процедурный кабинет,"улица Суюнбая, 103",1 этаж,040923,,,,Карасайский район,Алматинская область,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,3.0,2,87074014190,,,,,,,,,,https://wa.me/77074014190,,,,https://t.me/+77074014190,,43.191593,76.75388,https://2gis.com/firm/70000001077294061,branch
Аптека,,Аптеки,"улица Акниет, 23а",,040916,,,,Карасайский район,Алматинская область,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,2.2,11,,,,,,,,,,,,,,,,,43.246089,76.747476,https://2gis.com/firm/70000001027855910,branch
Аптека,,Аптеки,"улица Жетысу, 1а",,040729,,,,Илийский район,Алматинская область,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,3.3,3,,,,,,,,,,,,,,,,,43.430271,76.913754,https://2gis.com/firm/70000001025474750,branch
МираФарм,аптека,Аптеки; Процедурный кабинет,"улица Байтерек, 95",1 этаж,040729,,,,Илийский район,Алматинская область,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,1.0,2,87750630770,,,,,,,,,,,,,,,,43.444754,76.921524,https://2gis.com/firm/70000001030314147,branch
Медина S,аптека,Аптеки; Процедурный кабинет,"улица Жунисова, 14/19",1 этаж,050035,,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,2.5,7,87077058489,87782187974,,,,,,,,,https://wa.me/77782187974,https://wa.me/77077058489,,,,,43.221443,76.784384,https://2gis.com/firm/70000001056673171,branch
Likafarm,аптека,Аптеки,"Мамыр-4 микрорайон, 197а",1 этаж,050036,Мамыр-4 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,1.6,20,,,,,,,,,,,,,,,,,43.215499,76.854393,https://2gis.com/firm/70000001053709494,branch
Аптека,,Аптеки,"улица Барибаева, 67а",1 этаж,,,,Каскелен,Карасайский район,Алматинская область,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,5.0,1,87017602916,,,,,,,,,,https://wa.me/77017602916,,,,,,43.201863,76.627771,https://2gis.com/firm/70000001044425945,branch
