Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Instagram,Twitter,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
БАНЗАЙ Fitness,сеть фитнес-клубов,Фитнес-клубы; Тренажёрные залы; Велнес-залы; Спортивное питание,"проспект Турара Рыскулова, 143в",3 этаж,050038,Акбулак м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 06:00-23:30; Вт: 06:00-23:30; Ср: 06:00-23:30; Чт: 06:00-23:30; Пт: 06:00-23:30; Сб: 06:00-23:30; Вс: 11:00-21:00,+05:00,4.7,266,87272474546,87078000569,,banzai4info@gmail.com,http://banzai.kz,,https://instagram.com/banzai_gym_domillion,,https://facebook.com/banzai4me,https://vk.com/banzai4me,https://wa.me/77078000569,,,,https://t.me/banzai4me,,https://youtube.com/banzai4me,43.254066,76.838796,https://2gis.com/firm/9429940000826270,branch
Vertical pole studio,студия танцев,Фитнес-клубы; Обучение танцам; Спортивные секции; Цирковые школы; Велнес-залы,"улица Толе би, 189д",314 офис; 3 этаж,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 10:00-15:00 (по предварительной записи),+05:00,3.8,23,87476048506,,,,,,https://instagram.com/dance_studio_vertical,,,,https://wa.me/77476048506,https://wa.me/77073483199,,,,,,43.252213,76.891215,https://2gis.com/firm/70000001023960519,branch
Avocado ,салон красоты,Фитнес-клубы; Косметолог; Эпиляция,"улица Ходжанова, 78 блок 5",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,25,87055552282,,,,,,https://instagram.com/almaty.avocado,,,,https://wa.me/77055552282,,,,,,,43.206605,76.911103,https://2gis.com/firm/70000001086852116,branch
Best Gym Almaty,тренажерный зал,Фитнес-клубы; Тренажёрные залы,"улица Байжанбаева, 5",,050052,Таугуль-3 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00,+05:00,4.4,127,87473499211,,,,,,https://instagram.com/bestgym_official,,,,https://wa.me/77027511555,https://wa.me/77473499211,,,,,,43.203362,76.853947,https://2gis.com/firm/70000001032171087,branch
Stretching.AAA,,Фитнес-клубы,"Кульджинский тракт, 2",2 этаж,050019,,Медеуский район,Алматы,,Алматинская область,Казахстан,Вт: 20:00-21:00; Чт: 20:00-21:00; Сб: 18:00-20:00; Вс: 18:00-20:00,+05:00,5.0,13,87787777589,,,,,,https://instagram.com/adilya_stretch_,,,,https://wa.me/77787777589,,,,,,,43.287242,76.990514,https://2gis.com/firm/70000001085675816,branch
Ayu-Man,спортивный клуб,Фитнес-клубы; Спортивные секции; Тренажёрные залы,"Кульджинский тракт, 2",3 блок; -1 этаж; Талгарский тракт,050019,,Медеуский район,Алматы,,Алматинская область,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 09:00-21:00,+05:00,4.2,25,87772100210,87783792680,,,,,https://instagram.com/ayumankz,,,,https://wa.me/77783792680,https://wa.me/77772100210,,,,,,43.287242,76.990514,https://2gis.com/firm/70000001029767719,branch
 Fluid.stretch,,Фитнес-клубы,"микрорайон 3-й, 21/1",1 этаж,050062,3-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 08:00-12:00, 13:40-21:30; Вт: 08:00-12:00, 13:40-21:30; Ср: 08:00-12:00, 13:40-21:30; Чт: 08:00-12:00, 13:40-21:30; Пт: 08:00-12:00, 13:40-21:30; Сб: 08:00-12:00, 13:40-21:30; Вс: 08:00-12:00, 13:40-21:30",+05:00,4.9,62,87082425927,87756443462,,,,,https://instagram.com/fluid.stretch,,,,https://wa.me/77082425927,https://wa.me/77756443462,,,,,,43.221836,76.852169,https://2gis.com/firm/70000001069083051,branch
First Pilates Studio,студия пилатеса,Фитнес-клубы; Обучение фитнес-инструкторов,"проспект Абая, 150/230 блок 4",цокольный этаж,050046,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-14:00,+05:00,4.9,17,,,,,,,https://instagram.com/first.pilates.studio,,https://facebook.com/coreandpilates,,https://wa.me/77712685041,https://wa.me/77770231124,,,,,,43.236691,76.883359,https://2gis.com/firm/70000001029766147,branch
Planet Balance,центр красоты и здоровья,Фитнес-клубы; Косметолог; SPA-процедуры; Массажист; Тонизирующие салоны; Велнес-залы; Продажа инфракрасных кабин,"улица Манаса, 9Б",3 этаж; вторая дверь,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00 (по предварительной записи),+05:00,4.0,4,87770431838,,,,http://planetbeach.kz,,https://instagram.com/planet_balance,,,,https://wa.me/77770431838,,,,,,,43.24207,76.907752,https://2gis.com/firm/70000001055314622,branch
TauFit,фитнес-клуб,Фитнес-клубы; Тренажёрные залы; Спортивные секции,"микрорайон Таусамалы, 98",2 этаж,,Тау Самал жилой комплекс,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 07:00-22:30; Вт: 07:00-22:30; Ср: 07:00-22:30; Чт: 07:00-22:30; Пт: 07:00-22:30; Сб: 09:00-20:30,+05:00,4.1,95,87273013000,87084806036,,,http://taufit.kz,,https://instagram.com/taufit.almaty,,,,https://wa.me/77084806036,,,,,,,43.205889,76.816279,https://2gis.com/firm/9429940001283652,branch
Lifestyle,центр семейного фитнеса,Фитнес-клубы; Обучение танцам; Тренажёрные залы; Спортивные секции; Центры йоги; Реабилитационные центры,"улица Исиналиева, 1/1",цокольный этаж,050045,Нур Алатау м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-22:00; Ср: 07:00-23:00; Чт: 07:00-22:00; Пт: 07:00-23:00; Сб: 09:00-19:00,+05:00,3.8,27,87272697246,87072213383,87772144283,,,,https://instagram.com/lifestyle.alatau,,,,https://wa.me/77072213383,https://wa.me/77772144283,,,,,,43.193827,76.903683,https://2gis.com/firm/9429940000982483,branch
Aquafit,фитнес-центр,Фитнес-клубы; Бассейны; Тренажёрные залы,"улица Гоголя, 127/1",1 этаж,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,3.1,42,87010318051,87273383911,,,http://kazzhol.com/ru/almaty/fitness/aqua-fit,,https://instagram.com/aquafit_almaty,,https://facebook.com/aquafit.almaty,,https://wa.me/77010318051,,,,,,,43.260581,76.933655,https://2gis.com/firm/9429940001544512,branch
Fitnesslife,спортивный клуб,Фитнес-клубы; Тренажёрные залы; Обучение танцам; Спортивные секции,"улица Толе би, 273а блок 2",цокольный этаж,050005,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-17:00,+05:00,3.8,11,87053883736 (единая справочная: пн-пт 8:30-21:00; сб 9:00-17:30 ),87017280868,,,http://www.fsl.kz,,https://instagram.com/rozafitnesslife,,,,https://wa.me/77017280868,https://wa.me/77762756723,,,https://t.me/+77053883736,,,43.249322,76.86801,https://2gis.com/firm/70000001031700198,branch
Adrenaline,фитнес-центр,Фитнес-клубы; Тренажёрные залы; Обучение танцам; Спортивное питание,"проспект Достык, 250",цокольный этаж,050051,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 06:00-23:00; Вт: 06:00-23:00; Ср: 06:00-23:00; Чт: 06:00-23:00; Пт: 06:00-23:00; Сб: 07:00-22:00; Вс: 09:00-21:00,+05:00,4.3,107,87714473737 (единая справочная: пн-пт 6:00-23:00; сб 7:00-22:00; вс 9:00-21:00),87273132625 (единая справочная: пн-пт 6:00-23:00; сб 7:00-22:00; вс 9:00-21:00),,sales@adrenaline.kz,http://www.adrenaline.kz,,https://instagram.com/adrenaline_kz,,https://facebook.com/Adrenaline-Kz-529339027243967,,https://wa.me/77714473737,,,,,,https://youtube.com/UC0A-skQmAzJUO509Vt3cl1A,43.221778,76.96386,https://2gis.com/firm/70000001029247339,branch
Jumping Fitness Almaty,,Фитнес-клубы,"проспект Гагарина, 236Б",2 этаж; под вывеской Pyramid Power,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:30-21:15; Вт: 08:30-21:15; Ср: 08:30-21:15; Чт: 08:30-21:15; Пт: 08:30-21:15; Сб: 08:30-21:15,+05:00,,,87778388831,,,,,,https://instagram.com/jumping_almaty,,,,https://wa.me/77778388831,,,,,,,43.213189,76.898269,https://2gis.com/firm/70000001084545809,branch
Energy Life,фитнес-студия,Фитнес-клубы; Обучение фитнес-инструкторов; Велнес-залы,"улица Кожабекова, 17/1",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-20:00,+05:00,4.4,11,87028397810 (единая справочная),,,,,,https://instagram.com/ems_energylife,,https://facebook.com/energylifekz,,https://wa.me/77028397810,https://wa.me/77028536071,,,,,,43.200856,76.896162,https://2gis.com/firm/70000001069378935,branch
S-Fitness,фитнес-клуб,Фитнес-клубы; Тренажёрные залы,"Богенбай батыра улица, 148",5 этаж,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 10:00-20:00,+05:00,3.8,60,87758329452,,,,,,https://instagram.com/s_fitness.kz,,,,https://wa.me/77758329452,,,,,,,43.252328,76.935479,https://2gis.com/firm/70000001027947392,branch
Cha cha land,студия танца,Фитнес-клубы; Обучение танцам,"улица Асыл Арман, 9",цокольный этаж; вход со двора,040916,,,,Карасайский район,Алматинская область,Казахстан,Пн: 08:30-22:00; Вт: 08:30-22:00; Ср: 08:30-22:00; Чт: 08:30-22:00; Пт: 08:30-22:00; Сб: 08:30-22:00 (по предварительной записи),+05:00,5.0,17,87473253539,,,,,,https://instagram.com/cha_cha_land_studio,,,,https://wa.me/77473253539,,,viber://chat/?number=77473253539,https://t.me/+77473253539,,,43.229192,76.751694,https://2gis.com/firm/70000001040057427,branch
Фитнес с Жози ,,Фитнес-клубы; Центры йоги,"улица Розыбакиева, 227/1",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Ср: 08:00-22:00; Пт: 08:00-22:00,+05:00,5.0,35,,,,,http://tiktok.com/@zhozi_fit,,https://instagram.com/zhozinugman,,,,,,,,,,,43.206872,76.893215,https://2gis.com/firm/70000001081835826,branch
Nomad Gym,тренажерный зал,Фитнес-клубы; Тренажёрные залы; Велнес-залы; Центры йоги; Спортивные секции,"улица Сухамбаева, 21",2 этаж,050060,Акбулак м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00,+05:00,4.6,33,87474765933,87785282631,,,,,https://instagram.com/nomad_gym_kz,,,,https://wa.me/77474765933,https://wa.me/77785282631,,,https://t.me/+77474765933,https://t.me/+77785282631,,43.242541,76.818636,https://2gis.com/firm/70000001046112637,branch
Пластилин,тренажерный зал,Фитнес-клубы; Тренажёрные залы; Спортивные секции,"проспект Суюнбая, 2 к5",2 этаж,050016,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 12:00-22:00; Вс: 10:00-15:00,+05:00,4.6,53,87772244886,,,,,,https://instagram.com/plastilin.gym,,,,https://wa.me/77772244886,,,,,,,43.271886,76.947493,https://2gis.com/firm/9429940000930816,branch
Airus.gym.almaty,фитнес-клуб,Фитнес-клубы,"улица Толе би, 285/8 к16",,050031,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,1.3,4,87073797945,,,,,,https://instagram.com/airus.gym.almaty,,,,https://wa.me/77073797945,,,,,,,43.246258,76.855132,https://2gis.com/firm/70000001083878887,branch
Purpur Vibe,студия растяжки и фитнеса,Фитнес-клубы; Обучение танцам; Центры йоги,"улица Зенкова, 59",143 офис; 2 этаж,050010,,Медеуский район,Алматы,,Алматы,Казахстан,"Пн: 07:00-14:00, 15:30-21:00; Вт: 07:00-14:00, 15:30-21:00; Ср: 07:00-14:00, 15:30-21:00; Чт: 07:00-14:00, 15:30-21:00; Пт: 07:00-14:00, 15:30-21:00; Сб: 08:00-14:00, 15:30-21:00; Вс: 08:00-14:00, 15:30-21:00",+05:00,4.8,60,87711191313,,,,,,https://instagram.com/purpurvibe,,,,https://wa.me/77711191313,,,,https://t.me/+77711191313,,,43.249765,76.957503,https://2gis.com/firm/70000001040231522,branch
Sun Ray,студия танца и фитнеса,Фитнес-клубы; Обучение танцам; Центры йоги,"Саина улица, 12а",,050031,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-14:00,+05:00,4.8,14,87017131640,87072211503,,,,,https://instagram.com/sunray_dance_studio,,,,https://wa.me/77017131640,https://wa.me/77072211503,,,https://t.me/+77017131640,,,43.244155,76.838486,https://2gis.com/firm/9429940000790422,branch
Siluet,студия танца и фитнеса,Фитнес-клубы; Обучение танцам; Центры йоги,"микрорайон Аксай 1, 10/3",203 помещение; цокольный этаж,050031,Аксай-1 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 16:00-22:00; Вт: 16:30-22:00; Ср: 16:00-22:00; Чт: 16:30-22:00,+05:00,4.3,19,87772870457,87071047510,,,,,https://instagram.com/siluet_fitness,,,,https://wa.me/77772870457,https://wa.me/77071047510,,,,,,43.243666,76.835841,https://2gis.com/firm/70000001025257325,branch
БАНЗАЙ Fitness,сеть фитнес-клубов,Фитнес-клубы; Тренажёрные залы; Велнес-залы; Спортивное питание,"проспект Сейфуллина, 182в",3 этаж,050037,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 06:00-23:30; Вт: 06:00-23:30; Ср: 06:00-23:30; Чт: 06:00-23:30; Пт: 06:00-23:30; Сб: 06:00-23:30; Вс: 11:00-21:00,+05:00,4.7,227,87273852415,87078000529,,banzai4info@gmail.com,http://banzai.kz,,https://instagram.com/banzai4me,,https://facebook.com/banzai4me,https://vk.com/banzai4me,https://wa.me/77078000529,,,,https://t.me/banzai4me,,https://youtube.com/banzai4me,43.305099,76.940501,https://2gis.com/firm/70000001038922607,branch
ЖанАй,фитнес-зал,Фитнес-клубы,"улица Байтерекова, 54",2 этаж,050038,Акбулак м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,3.8,51,87077453600 (фитнес-зал),,,,,,https://instagram.com/zhan_ai_complex,,,,https://wa.me/77077453600,,,,,,,43.259497,76.822582,https://2gis.com/firm/70000001060986037,branch
Fittape studio,,Фитнес-клубы; Услуги тейпирования,"улица Жубанова, 3а",301 офис; 3 этаж,050062,,Ауэзовский район,Алматы,,Алматы,Казахстан,Вт: 20:00-21:30; Чт: 20:00-21:30; Сб: 20:00-21:30,+05:00,5.0,14,87055740565,,,,,,https://instagram.com/fittape.studio,,,,https://wa.me/77055740565,,,,,,,43.236453,76.85692,https://2gis.com/firm/70000001069407574,branch
Equilibrio,пилатес клуб,Фитнес-клубы; Обучение фитнес-инструкторов,"проспект Аль-Фараби, 9 блок 5г",1 этаж; слева от вывески Орион,050059,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00 (по предварительной записи),+05:00,5.0,5,87071015379,87017142767,,,,,https://instagram.com/equilibrio_club,,,,https://wa.me/77071015379,https://wa.me/77017142767,,,,,,43.231104,76.946759,https://2gis.com/firm/70000001065253069,branch
Elastic Gym,спортивный клуб,Фитнес-клубы; Спортивные секции; Обучение танцам,"Жетысу-3 микрорайон, 1/3",3 этаж,050063,Жетысу-3 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.0,30,87476230816,,,,,,https://instagram.com/_elastic_gym_,,,,https://wa.me/77476230816,,,,,,,43.21787,76.842409,https://2gis.com/firm/70000001057499716,branch
Танцы- Аэробика,,Фитнес-клубы; Обучение танцам,"проспект Абая, 151",212 кабинет; 2 этаж,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 06:00-20:00; Вт: 06:00-20:00; Ср: 06:00-20:00; Чт: 06:00-20:00; Пт: 06:00-20:00; Сб: 06:00-20:00; Вс: 06:00-20:00 (по предварительному звонку),+05:00,,,87083148860,,,,,,,,,,https://wa.me/77083148860,,,,,,,43.239373,76.891799,https://2gis.com/firm/70000001080491564,branch
AMG,фитнес-клуб,Фитнес-клубы; Тренажёрные залы,"микрорайон Аксай-4, 70Б",цокольный этаж,050063,Аксай-4 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00,+05:00,3.2,30,87272383555,87273178055,,,,,https://instagram.com/amg_fitness_lab,,,,,,,,,,,43.225887,76.840753,https://2gis.com/firm/9429940001227721,branch
Жайлау,фитнес-клуб,Фитнес-клубы; Тренажёрные залы; Спортивные секции,"улица Суюнбая, 19Б",,041609,,,,Талгарский район,Алматинская область,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,3.4,21,87011553791,,,,,,https://instagram.com/jailau_komplex,,,,https://wa.me/77011553791,,,,,,,43.292824,77.020929,https://2gis.com/firm/70000001040056563,branch
Let’s jump,фитнес-центр ,Фитнес-клубы; Батутные центры; Спортивные секции; Обучение танцам,"микрорайон Жетысу-2, 52/1",цокольный этаж,050063,Жетысу-2 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 07:00-15:00, 17:00-21:00; Вт: 08:00-15:30, 18:30-20:30; Ср: 07:00-15:00, 17:00-21:00; Чт: 08:00-15:30, 18:30-20:30; Пт: 07:00-15:00, 17:00-21:00; Сб: 09:30-13:00",+05:00,5.0,74,87078231493,,,,,,https://instagram.com/letsjump.kz,,,,https://wa.me/77078231493,,,,,,,43.222169,76.846603,https://2gis.com/firm/70000001052141643,branch
Real Athletic,тренажерный зал,Фитнес-клубы; Тренажёрные залы; Спортивные секции,"микрорайон Мамыр-3, 23",цокольный этаж,050036,Мамыр-3 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 12:00-18:00,+05:00,4.3,42,87078079129,87075449729,,,,,https://instagram.com/realathleticgym,,,,https://wa.me/77078079129,https://wa.me/77075449729,,,,,,43.213643,76.855725,https://2gis.com/firm/9429940000940784,branch
Sport Line Z,женский фитнес клуб,Фитнес-клубы; Массажист,"микрорайон 3-й, 7а",2 этаж,050062,3-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 09:00-16:00 (по предварительной записи),+05:00,4.9,133,87273936351,87776956024,87778460202,,http://sport-line-z.kz,,https://instagram.com/sport_z.kz,,,,https://wa.me/77778460202,https://wa.me/77776956024,,,,,,43.224104,76.848335,https://2gis.com/firm/9429940000853166,branch
Gravity Fit,компания,Фитнес-клубы; Обучение танцам; Центры йоги; Массажист,"Думан-2 микрорайон, 57/1",цокольный этаж; 2 подъезд; парковка,,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 07:00-20:30; Вт: 07:00-20:30; Ср: 07:00-20:30; Чт: 07:00-20:30; Пт: 07:00-20:30; Сб: 07:00-20:30 (по предварительной записи),+05:00,5.0,24,87075360613,,,,,,https://instagram.com/gravity_fit.kz,,,,https://wa.me/77075360613,,,,,,,43.288499,77.005483,https://2gis.com/firm/70000001080551882,branch
Fitnesslife,спортивный клуб,Фитнес-клубы; Спортивные секции,"микрорайон Орбита-3, 4а",2 этаж,050043,Орбита-3 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-17:30,+05:00,3.6,10,87053883736 (единая справочная: пн-пт 8:30-21:00; сб 9:00-17:30 ),87017280868,,,http://www.fsl.kz,,https://instagram.com/rozafitnesslife,,,,https://wa.me/77017280868,https://wa.me/77762756723,,,https://t.me/+77053883736,,,43.200457,76.879118,https://2gis.com/firm/9429940000787166,branch
Football Land,гостинично-оздоровительный комплекс,Фитнес-клубы; Гостиницы; Тренажёрные залы; Бани / Сауны; Бассейны,"улица Акан Серы, 156",,050037,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (фитнес-центр: пн-вс 9:00-22:00),+05:00,2.5,22,87272341277 (гостиница),87015702799 (гостиница),87272945184,,http://football-land.kz,,https://instagram.com/football_land.kz,,,,https://wa.me/77015702799,,,,,,,43.308922,76.946216,https://2gis.com/firm/9429940000787209,branch
Sparta,фитнес-клуб,Фитнес-клубы; Тренажёрные залы,"Водник 1 микрорайон, 4Б",Цокольный этаж,040708,Водник 1 м-н,,,Илийский район,Алматинская область,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00,+05:00,1.9,39,87753999700,,,,,,https://instagram.com/sparta.almaty,,,,https://wa.me/77753999700,,,,,,,43.369039,76.85652,https://2gis.com/firm/70000001040562848,branch
100 пудов,тренажерный зал,Фитнес-клубы; Тренажёрные залы,"микрорайон Аксай-3а, 87",1 этаж,050031,Аксай-3а м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00,+05:00,4.4,31,87772215250,87772146757,,,http://mssg.me/100pudov,,https://instagram.com/100pudov.kz,,https://facebook.com/100pudovkz,https://vk.com/stopudovkz,https://wa.me/77772215250,https://wa.me/77772146757,,,,,,43.23756,76.826618,https://2gis.com/firm/9429940001054030,branch
WORKOUT ,сеть фитнес-клубов,Фитнес-клубы; Тренажёрные залы; Обучение танцам,"микрорайон Кулагер, 10",2 этаж,050066,Кулагер м-н,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 09:00-22:00; Вс: 10:00-22:00,+05:00,4.3,84,87472101032 (единый номер: пн-пт 7:00-00:00; сб-вс 10:00-22:00),,,,,,https://instagram.com/workoutgym.kz,,,,https://wa.me/77075570917,,,,,,,43.302919,76.921931,https://2gis.com/firm/9429940001122111,branch
Sine Tempore,фитнес-клуб,Фитнес-клубы; Тренажёрные залы,"улица Толе би, 40",1 этаж,050010,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 10:00-12:00,+05:00,4.4,16,87272916821,87077916821,,,,,https://instagram.com/_sine_tempore_,,,,https://wa.me/77077916821,,,,,,,43.2552,76.95316,https://2gis.com/firm/9429940000956426,branch
Family Fit,фитнес-центр,Фитнес-клубы; Спортивные секции; Центры йоги; Батутные центры; Обучение танцам,"улица Жунисова, 14",цокольный этаж,050035,,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00,+05:00,4.5,10,87028035074,,,,http://tiktok.com/@my_family_fitness,,https://instagram.com/familyfit.kz,,,,https://wa.me/77028035074,,,,,,,43.221175,76.78476,https://2gis.com/firm/70000001057788532,branch
Импульс,студия танца и фитнеса,Фитнес-клубы; Обучение танцам,"улица Таргап, 31/1",цокольный этаж,050006,,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00,+05:00,5.0,10,87078773780,,,,,,https://instagram.com/bottazh,,,,https://wa.me/77078773780,,,,,,,43.222333,76.793488,https://2gis.com/firm/70000001077769902,branch
Фитнес-студия,,Фитнес-клубы,"микрорайон Шугыла, 340/4 к3",,050006,Шугыла м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00,+05:00,2.4,2,87083911416,,,,,,,,,,https://wa.me/77083911416,,,,,,,43.207353,76.790471,https://2gis.com/firm/70000001069413313,branch
Deux Ballerines,школа балета,Фитнес-клубы; Обучение танцам; Аренда помещений,"улица Рубинштейна, 21",2 этаж,050020,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-15:00,+05:00,5.0,4,87019292529,87016737341,,,,,https://instagram.com/deuxballeriness,,,,https://wa.me/77019292529,https://wa.me/77016737341,,,,,,43.221913,76.966949,https://2gis.com/firm/70000001036398381,branch
